...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
SLC27A1-mRNA	0.147	7.66	-14.9	15.2	1.11	3.35e-5	36600	0.986	0.999	Wald	Amino Acid Transporters	NM_198580.1:1927
SELENOK-mRNA	-0.0733	4.12	-8.14	7.99	0.95	0.00354	255	0.987	0.999	Wald	Reactive Oxygen Response	NM_021237.3:42
NAALAD2-mRNA	0.184	11.8	-23	23.4	1.14	1.16e-7	11100000	0.989	0.999	Wald	Glutamine Metabolism	NM_005467.3:830
ZNF100-mRNA	-0.171	11.8	-23.4	23	0.888	9.17e-8	8600000	0.989	0.999	Wald	Transcriptional Regulation	NM_173531.3:36
PSMB3-mRNA	0.00229	0.167	-0.326	0.33	1	0.798	1.26	0.99	0.999	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002795.3:22
PGM2-mRNA	0.00281	0.215	-0.418	0.424	1	0.748	1.34	0.99	0.999	lm.nb	Glycolysis, Nucleotide Synthesis, Pentose Phosphate Pathway	NM_018290.3:295
ITGB1-mRNA	0.00222	0.171	-0.332	0.337	1	0.794	1.26	0.99	0.999	lm.nb	Cytokine & Chemokine Signaling, PI3K	NM_002211.3:355
PIK3R3-mRNA	-0.142	11.8	-23.3	23.1	0.906	9.36e-8	8770000	0.991	0.999	Wald	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_003629.3:5016
NCR1-mRNA	-0.0262	2.29	-4.51	4.46	0.982	0.0439	22	0.992	0.999	Wald	NA	NM_004829.5:602
PRR5-mRNA	-0.044	5.42	-10.7	10.6	0.97	6.15e-4	1530	0.994	0.999	Wald	mTOR	NM_015366.3:1635
MAPK8-mRNA	-9.15e-4	0.12	-0.236	0.234	0.999	0.849	1.18	0.994	0.999	loglinear	Autophagy, Cytokine & Chemokine Signaling, DNA Damage Repair, MAPK, TLR Signaling	NM_002750.2:945
SEC13-mRNA	6.75e-4	0.0985	-0.192	0.194	1	0.875	1.14	0.995	0.999	loglinear	Antigen Presentation, Cell Cycle, Glycolysis, mTOR	NM_001136026.2:400
TP53-mRNA	-0.00701	11.8	-23.2	23.2	0.995	1.03e-7	9630000	1	1	Wald	Cell Cycle, Cytokine & Chemokine Signaling, DNA Damage Repair, MAPK, Myc, PI3K, Transcriptional Regulation, p53 Pathway	NM_000546.2:1330
PFKM-mRNA	-0.00257	11.8	-23.2	23.2	0.998	1.03e-7	9700000	1	1	Wald	AMPK, Glycolysis, Pentose Phosphate Pathway	NM_000289.5:2195
