...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
MS4A4A-mRNA	0.0172	0.482	-0.927	0.962	1.01	0.526	1.95	0.973	0.997	lm.nb	NA	NM_024021.2:800
TP53-mRNA	-0.438	12.1	-24.1	23.2	0.738	5.52e-8	9880000	0.973	0.997	Wald	Cell Cycle, Cytokine & Chemokine Signaling, DNA Damage Repair, MAPK, Myc, PI3K, Transcriptional Regulation, p53 Pathway	NM_000546.2:1330
ZNF708-mRNA	0.247	7.46	-14.4	14.9	1.19	4.73e-5	29800	0.976	0.997	Wald	Transcriptional Regulation	NM_021269.2:488
IDNK-mRNA	0.0937	2.92	-5.62	5.81	1.07	0.0203	56	0.976	0.997	Wald	Pentose Phosphate Pathway	NM_001001551.3:272
PIK3R3-mRNA	-0.38	12	-24	23.2	0.769	6.16e-8	9580000	0.977	0.997	Wald	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_003629.3:5016
SEC13-mRNA	0.00743	0.245	-0.473	0.488	1.01	0.72	1.4	0.977	0.997	lm.nb	Antigen Presentation, Cell Cycle, Glycolysis, mTOR	NM_001136026.2:400
ATP6V1F-mRNA	-0.00581	0.197	-0.392	0.38	0.996	0.762	1.3	0.978	0.997	lm.nb	Mitochondrial Respiration, mTOR	NM_001198909.1:673
MYCL-mRNA	0.345	12.1	-23.3	24	1.27	9.66e-8	16700000	0.979	0.997	Wald	Transcriptional Regulation	NM_001033081.2:568
UQCR11-mRNA	-0.251	8.9	-17.7	17.2	0.84	4.71e-6	150000	0.979	0.997	Wald	Mitochondrial Respiration	NM_006830.2:360
D2HGDH-mRNA	-0.338	12.1	-24	23.3	0.791	5.9e-8	10600000	0.979	0.997	Wald	IDH12 Activity, Mitochondrial Respiration	NM_001287249.1:550
PSMA7-mRNA	-0.00381	0.139	-0.277	0.269	0.997	0.825	1.21	0.979	0.997	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002792.2:639
L2HGDH-mRNA	-0.332	12.1	-24	23.3	0.794	6.13e-8	10300000	0.98	0.997	Wald	IDH12 Activity, Mitochondrial Respiration	NM_024884.2:1296
PYCR3-mRNA	-0.291	12.1	-23.9	23.3	0.817	6.31e-8	10600000	0.982	0.997	Wald	Amino Acid Synthesis, Glutamine Metabolism	NM_023078.2:1145
BRIP1-mRNA	-0.0847	3.77	-7.47	7.3	0.943	0.00565	157	0.983	0.997	Wald	Cell Cycle, DNA Damage Repair	NM_032043.1:1130
PFKM-mRNA	-0.26	12.1	-23.9	23.4	0.835	6.32e-8	11000000	0.984	0.997	Wald	AMPK, Glycolysis, Pentose Phosphate Pathway	NM_000289.5:2195
GAD1-mRNA	0.0898	4.69	-9.1	9.28	1.06	0.00183	620	0.986	0.997	Wald	Amino Acid Synthesis	NM_000817.2:575
ZNF675-mRNA	-0.0816	4.54	-8.99	8.82	0.945	0.00197	453	0.987	0.997	Wald	Transcriptional Regulation	NM_138330.2:851
SELENOK-mRNA	-0.202	12	-23.8	23.4	0.869	7.01e-8	10800000	0.988	0.997	Wald	Reactive Oxygen Response	NM_021237.3:42
KIR3DL1/2-mRNA	-0.189	12.1	-23.9	23.5	0.877	6.6e-8	11700000	0.988	0.997	Wald	NA	NM_001322168.1:466
RIMKLB-mRNA	-0.155	10	-19.8	19.5	0.898	1.09e-6	737000	0.989	0.997	Wald	Amino Acid Synthesis, Glutamine Metabolism	NM_020734.2:1840
NRF1-mRNA	-0.185	12.1	-23.8	23.5	0.879	6.7e-8	11500000	0.989	0.997	Wald	Mitochondrial Respiration	NM_001040110.1:2910
NRAS-mRNA	-0.00181	0.135	-0.267	0.264	0.999	0.831	1.2	0.99	0.997	lm.nb	Autophagy, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_002524.3:877
NAALAD2-mRNA	0.131	12.1	-23.5	23.8	1.09	8.19e-8	14600000	0.992	0.997	Wald	Glutamine Metabolism	NM_005467.3:830
ALOX15-mRNA	-0.124	12.1	-23.8	23.6	0.918	6.81e-8	12400000	0.992	0.997	Wald	Cytokine & Chemokine Signaling	NM_001140.3:1910
TELO2-mRNA	-0.12	12	-23.7	23.5	0.92	7.22e-8	11700000	0.993	0.997	Wald	mTOR	NM_016111.3:294
SLC16A13-mRNA	-0.0672	12.1	-23.7	23.6	0.955	7.1e-8	12800000	0.996	0.998	Wald	Amino Acid Transporters	NM_201566.2:355
BCL2-mRNA	-3.2e-16	0.576	-1.13	1.13	1	0.457	2.19	1	1	lm.nb	Autophagy, Cytokine & Chemokine Signaling, NF-kB, PI3K, Reactive Oxygen Response	NM_000657.2:5
